slot_id,provider_id,provider_name,specialty,network_status,slot_date,slot_time,visit_type,duration_min,telehealth,address,city,state,zip,lat,lon,phone,available
SLOT00001,PRV0001,"Dr. Fowler, Angel",Geriatrics,In-Network,2026-06-29,11:00 AM,Follow-Up,20,False,33890 Jennifer Squares,Robinsonshire,KY,01352,27.560615,-83.439374,001-626-254-2351x16155,True
SLOT00002,PRV0001,"Dr. Fowler, Angel",Geriatrics,In-Network,2026-06-14,4:30 PM,Follow-Up,60,False,33890 Jennifer Squares,Robinsonshire,KY,01352,27.560615,-83.439374,001-626-254-2351x16155,True
SLOT00003,PRV0001,"Dr. Fowler, Angel",Geriatrics,In-Network,2026-07-03,11:00 AM,Annual Wellness Visit,30,True,33890 Jennifer Squares,Robinsonshire,KY,01352,27.560615,-83.439374,001-626-254-2351x16155,True
SLOT00004,PRV0001,"Dr. Fowler, Angel",Geriatrics,In-Network,2026-06-29,1:00 PM,Follow-Up,15,True,33890 Jennifer Squares,Robinsonshire,KY,01352,27.560615,-83.439374,001-626-254-2351x16155,True
SLOT00005,PRV0001,"Dr. Fowler, Angel",Geriatrics,In-Network,2026-06-16,1:30 PM,Annual Wellness Visit,45,False,33890 Jennifer Squares,Robinsonshire,KY,01352,27.560615,-83.439374,001-626-254-2351x16155,True
SLOT00006,PRV0003,"Dr. Johnson, Leslie",Internal Medicine,In-Network,2026-07-08,10:30 AM,New Patient,30,False,38849 Hurst Locks Suite 328,Daviston,VI,14872,25.685336,-110.630825,(626)291-6697,True
SLOT00007,PRV0003,"Dr. Johnson, Leslie",Internal Medicine,In-Network,2026-06-28,4:00 PM,New Patient,30,False,38849 Hurst Locks Suite 328,Daviston,VI,14872,25.685336,-110.630825,(626)291-6697,True
SLOT00008,PRV0003,"Dr. Johnson, Leslie",Internal Medicine,In-Network,2026-06-20,11:00 AM,New Patient,45,True,38849 Hurst Locks Suite 328,Daviston,VI,14872,25.685336,-110.630825,(626)291-6697,True
SLOT00009,PRV0004,"Dr. Wilson, Nicole",Nephrology,In-Network,2026-07-08,4:30 PM,Follow-Up,20,True,148 Eric Track,New Stephanie,NC,00575,29.573266,-88.206009,+1-357-901-5430x391,True
SLOT00010,PRV0004,"Dr. Wilson, Nicole",Nephrology,In-Network,2026-06-13,3:30 PM,Follow-Up,60,True,148 Eric Track,New Stephanie,NC,00575,29.573266,-88.206009,+1-357-901-5430x391,True
SLOT00011,PRV0004,"Dr. Wilson, Nicole",Nephrology,In-Network,2026-06-30,2:00 PM,Nephrology Consult,60,True,148 Eric Track,New Stephanie,NC,00575,29.573266,-88.206009,+1-357-901-5430x391,True
SLOT00012,PRV0004,"Dr. Wilson, Nicole",Nephrology,In-Network,2026-07-08,10:00 AM,Follow-Up,60,False,148 Eric Track,New Stephanie,NC,00575,29.573266,-88.206009,+1-357-901-5430x391,True
SLOT00013,PRV0004,"Dr. Wilson, Nicole",Nephrology,In-Network,2026-07-09,10:00 AM,Follow-Up,30,True,148 Eric Track,New Stephanie,NC,00575,29.573266,-88.206009,+1-357-901-5430x391,True
SLOT00014,PRV0005,"Dr. Spence, Amanda",Psychiatry,In-Network,2026-07-03,1:30 PM,Psychiatric Evaluation,20,True,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,True
SLOT00015,PRV0005,"Dr. Spence, Amanda",Psychiatry,In-Network,2026-06-27,11:00 AM,Psychiatric Evaluation,60,False,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,True
SLOT00016,PRV0005,"Dr. Spence, Amanda",Psychiatry,In-Network,2026-06-17,2:00 PM,Medication Management,60,False,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,True
SLOT00017,PRV0005,"Dr. Spence, Amanda",Psychiatry,In-Network,2026-06-29,4:00 PM,Follow-Up,15,True,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,True
SLOT00018,PRV0005,"Dr. Spence, Amanda",Psychiatry,In-Network,2026-06-11,4:30 PM,Medication Management,45,True,465 Lam Mission,East Jeffreymouth,AK,77611,38.553111,-79.909616,+1-239-730-1031,True
